Epoch;DataIndex;Error;LearningRate;ElapsedSeconds
1;174;2.2139554;0.01;0.8048218
1;162;2.2783864;0.01;0.8052849
1;168;3.1972637;0.01;0.8054209
1;156;2.87877;0.01;0.805833
1;180;2.9212732;0.01;0.8060547
1;192;1.0469118;0.01;0.8095213
1;151;2.2227745;0.01;0.8287886
1;175;2.7217474;0.01;0.8304002
1;181;1.246937;0.01;0.8317587
1;157;2.033045;0.01;0.8322737
1;163;2.4281018;0.01;0.8342512
1;193;2.973799;0.01;0.8350843
1;187;2.2003775;0.01;0.8359958
1;176;3.1940718;0.01;0.8539307
1;169;2.9611638;0.01;0.8539581
1;152;1.9927707;0.01;0.856189
1;182;3.5275898;0.01;0.8579468
1;164;1.2898937;0.01;0.8595836
1;194;2.3050818;0.01;0.8615076
1;188;2.261639;0.01;0.8629076
1;158;2.137549;0.01;0.8700384
1;177;2.4539778;0.01;0.8794321
1;153;2.2813282;0.01;0.8819485
1;170;2.1891544;0.01;0.8834876
1;195;2.9866974;0.01;0.886817
1;189;2.4986327;0.01;0.8878752
1;165;2.249933;0.01;0.8903877
1;183;1.3404489;0.01;0.8971268
1;159;3.290661;0.01;0.898199
1;178;2.3296268;0.01;0.9040589
1;154;2.390583;0.01;0.9089558
1;171;1.3242872;0.01;0.9096433
1;196;2.2553022;0.01;0.9147478
1;166;3.2614639;0.01;0.916997
1;160;2.7784576;0.01;0.9234996
1;184;2.166435;0.01;0.9242806
1;190;2.3613849;0.01;0.9281646
1;179;2.3849354;0.01;0.9297398
1;172;2.3816013;0.01;0.9361347
1;197;2.0368233;0.01;0.9403308
1;155;1.9724895;0.01;0.941726
1;167;2.1673534;0.01;0.9448825
1;185;2.537586;0.01;0.9509757
1;191;2.1769812;0.01;0.9516495
1;198;3.0923166;0.01;0.9532116
1;161;2.276005;0.01;0.9589385
1;173;2.086228;0.01;0.9607258
1;199;2.257612;0.01;0.9672051
1;200;2.3392704;0.01;0.9971609
1;224;2.6768017;0.01;0.9987044
1;212;2.8172185;0.01;0.9995373
1;230;1.9551741;0.01;1.0009018
1;218;2.9927077;0.01;1.0013267
1;242;2.9697511;0.01;1.0016735
1;236;2.392708;0.01;1.0018584
1;206;2.3445618;0.01;1.0045071
1;201;2.175717;0.01;1.0221363
1;225;3.410457;0.01;1.0243794
1;213;1.8999438;0.01;1.0271053
1;219;2.0660481;0.01;1.0281011
1;237;2.902157;0.01;1.0290002
1;207;2.7729766;0.01;1.0315609
1;231;2.0445468;0.01;1.0457996
1;243;3.5262768;0.01;1.047515
1;226;1.362027;0.01;1.0517786
1;202;2.964767;0.01;1.0524364
1;214;2.887062;0.01;1.0537168
1;220;3.0741575;0.01;1.0539786
1;208;2.29581;0.01;1.0605305
1;244;2.2867393;0.01;1.0716119
1;232;2.9715261;0.01;1.0719416
1;227;2.1924734;0.01;1.076611
1;221;2.1488926;0.01;1.0778791
1;203;2.1412342;0.01;1.079648
1;215;2.9079366;0.01;1.0836433
1;238;2.9118004;0.01;1.0879409
1;245;1.9562668;0.01;1.095809
1;209;3.3655827;0.01;1.0979193
1;233;2.2112963;0.01;1.099896
1;228;2.8769398;0.01;1.106177
1;216;2.493033;0.01;1.1093383
1;239;1.1773027;0.01;1.1156282
1;222;2.144565;0.01;1.1210357
1;246;2.0979345;0.01;1.1248705
1;234;3.203451;0.01;1.1251618
1;204;2.877241;0.01;1.1251937
1;229;2.2876787;0.01;1.132205
1;210;2.9866526;0.01;1.1349117
1;217;2.8881454;0.01;1.1366632
1;240;3.2194784;0.01;1.1405523
1;223;3.375036;0.01;1.1458766
1;235;3.1929243;0.01;1.1496332
1;205;3.296329;0.01;1.1511312
1;247;3.00394;0.01;1.1531118
1;248;3.4348361;0.01;1.1569417
1;241;2.0157971;0.01;1.1617959
1;211;2.958531;0.01;1.1620721
1;249;2.0289068;0.01;1.1894227
1;250;3.2385561;0.01;1.2195176
1;262;2.317748;0.01;1.2211165
1;268;2.9637823;0.01;1.2220292
1;274;2.9089603;0.01;1.2220925
1;280;1.3691263;0.01;1.2248892
1;286;2.440632;0.01;1.2261859
1;256;2.8793304;0.01;1.2280269
1;292;3.2283404;0.01;1.2371556
1;251;3.154062;0.01;1.24457
1;269;2.1738963;0.01;1.2497109
1;281;2.918044;0.01;1.2509348
1;287;2.894242;0.01;1.2514813
1;275;2.261017;0.01;1.2520168
1;257;2.202627;0.01;1.2547427
1;293;2.6849692;0.01;1.2624266
1;252;2.0055277;0.01;1.2691073
1;263;2.8594813;0.01;1.2692206
1;288;1.9180198;0.01;1.2754484
1;282;2.7209215;0.01;1.2758746
1;276;1.9823971;0.01;1.2777361
1;270;2.0928853;0.01;1.2897553
1;294;2.7515118;0.01;1.2905886
1;253;2.0759416;0.01;1.294539
1;264;2.7398636;0.01;1.295999
1;258;2.2123811;0.01;1.2999774
1;289;2.4406774;0.01;1.3032069
1;277;2.710544;0.01;1.3038111
1;283;2.3757434;0.01;1.3041033
1;271;1.4298443;0.01;1.314847
1;295;3.080247;0.01;1.3162698
1;265;2.520483;0.01;1.3211912
1;278;2.4704392;0.01;1.3306938
1;284;2.1060843;0.01;1.3314309
1;259;2.5676441;0.01;1.3322667
1;290;1.9901154;0.01;1.3346509
1;254;2.709318;0.01;1.335862
1;272;1.2891874;0.01;1.3413662
1;296;2.8490381;0.01;1.3427693
1;266;2.4780538;0.01;1.3499814
1;285;2.3501146;0.01;1.3586047
1;260;2.7202835;0.01;1.359253
1;279;2.5443401;0.01;1.3593976
1;255;1.5224451;0.01;1.361911
1;291;2.9495392;0.01;1.3628253
1;297;3.0930474;0.01;1.3685274
1;273;2.4578917;0.01;1.3693378
1;267;3.1290133;0.01;1.3721079
1;298;2.0411072;0.01;1.3748473
1;261;3.2312965;0.01;1.382573
1;299;3.272572;0.01;1.3895497
1;300;2.1436815;0.01;1.4200536
1;324;2.7115939;0.01;1.4202002
1;336;1.4281974;0.01;1.4216422
1;318;3.1173484;0.01;1.421815
1;330;2.1896057;0.01;1.4219255
1;306;2.1425557;0.01;1.4226799
1;312;2.9794898;0.01;1.4242098
1;342;2.1089728;0.01;1.424797
1;301;3.0015383;0.01;1.4447386
1;325;2.9055061;0.01;1.4457583
1;307;2.176473;0.01;1.4484898
1;337;1.4852493;0.01;1.4489105
1;331;2.1501071;0.01;1.449495
1;319;2.258402;0.01;1.4512323
1;313;1.4549034;0.01;1.4519873
1;343;2.1815355;0.01;1.4685491
1;302;2.6651692;0.01;1.4708809
1;308;2.1148398;0.01;1.4709276
1;326;2.1768084;0.01;1.4725475
1;320;1.4297322;0.01;1.5568055
1;314;2.7062128;0.01;1.5572215
1;332;2.1094236;0.01;1.5583535
1;303;2.6854084;0.01;1.5596119
1;327;2.3239524;0.01;1.5617676
1;344;2.3316135;0.01;1.5617801
1;309;2.2903106;0.01;1.5618484
1;338;1.9781525;0.01;1.5629928
1;321;2.7749398;0.01;1.5853817
1;315;1.4132015;0.01;1.5856643
1;333;2.8885858;0.01;1.5857425
1;328;2.1819239;0.01;1.5899934
1;304;2.5348318;0.01;1.5900697
1;310;2.1920772;0.01;1.5913055
1;345;2.1740112;0.01;1.5915462
1;339;2.2654119;0.01;1.5925688
1;305;2.5434065;0.01;1.6142753
1;322;2.184797;0.01;1.6144102
1;316;2.4684627;0.01;1.6145958
1;346;1.4832213;0.01;1.6172659
1;334;2.2380075;0.01;1.6186461
1;340;2.9932747;0.01;1.619345
1;311;2.1753519;0.01;1.6210873
1;329;3.0824575;0.01;1.6246704
1;348;3.04216;0.01;1.6342084
1;323;2.4028888;0.01;1.6357523
1;317;3.1038344;0.01;1.6379402
1;347;1.3775613;0.01;1.6379629
1;335;2.4146597;0.01;1.6390079
1;341;2.293513;0.01;1.64506
1;349;1.8662276;0.01;1.6528226
1;362;2.336992;0.01;1.6814955
1;350;2.2591999;0.01;1.6818923
1;374;2.0335364;0.01;1.6831568
1;368;2.125182;0.01;1.6833808
1;386;2.8761656;0.01;1.6837605
1;380;2.4707773;0.01;1.6838112
1;392;2.7629504;0.01;1.6943057
1;356;2.0679116;0.01;1.7003272
1;351;2.6338553;0.01;1.711289
1;363;1.5125499;0.01;1.711407
1;369;2.1680455;0.01;1.7114383
1;381;2.013881;0.01;1.713816
1;387;2.3080661;0.01;1.7140483
1;393;2.7310815;0.01;1.7228595
1;357;2.924214;0.01;1.7251343
1;375;2.885591;0.01;1.7312346
1;370;2.9472425;0.01;1.7326412
1;352;3.0267785;0.01;1.7360026
1;364;2.3387299;0.01;1.7368182
1;388;2.599862;0.01;1.7372072
1;358;2.2185388;0.01;1.7494878
1;394;2.5362;0.01;1.7526311
1;371;2.1127462;0.01;1.7583202
1;376;2.856615;0.01;1.7624048
1;353;2.9500792;0.01;1.7643039
1;389;2.8337495;0.01;1.7668343
1;382;2.1816235;0.01;1.76891
1;365;2.3234873;0.01;1.7690413
1;359;2.947398;0.01;1.7749128
1;395;2.8601823;0.01;1.7749186
1;377;2.858409;0.01;1.7883129
1;390;2.8754427;0.01;1.7915843
1;366;2.216354;0.01;1.7942148
1;383;2.9558842;0.01;1.7943584
1;372;2.1626613;0.01;1.7980627
1;396;2.4975789;0.01;1.7983238
1;360;3.0557308;0.01;1.800351
1;354;2.9702525;0.01;1.8022777
1;378;2.3457015;0.01;1.820302
1;384;3.1006515;0.01;1.823253
1;367;2.489465;0.01;1.8251909
1;391;2.22622;0.01;1.8255084
1;373;2.3863676;0.01;1.8255833
1;397;2.6221092;0.01;1.8270469
1;361;2.2445529;0.01;1.8290848
1;355;2.7321699;0.01;1.829491
1;379;2.7553024;0.01;1.836715
1;385;2.3080375;0.01;1.8389298
1;398;2.3259683;0.01;1.8403269
1;399;2.2401085;0.01;1.852843
1;400;2.37358;0.01;1.9575632
1;418;2.629677;0.01;1.9577684
1;442;2.1008406;0.01;1.9578049
1;424;1.4877316;0.01;1.9582629
1;430;2.639457;0.01;1.958267
1;436;2.764821;0.01;1.9706498
1;412;2.7960346;0.01;1.9722791
1;448;2.0055506;0.01;1.9772091
1;401;2.74079;0.01;1.9820188
1;443;2.7710898;0.01;1.9826593
1;425;2.6402183;0.01;1.9833657
1;431;2.6871674;0.01;1.9833745
1;406;2.9085822;0.01;1.9839383
1;437;2.8071713;0.01;1.996099
1;413;2.647583;0.01;1.9974467
1;419;1.4818139;0.01;1.999873
1;402;2.727123;0.01;2.008141
1;444;1.8729359;0.01;2.0093355
1;407;2.1821713;0.01;2.0099537
1;426;2.4868472;0.01;2.011319
1;449;2.1338053;0.01;2.021431
1;438;2.5848606;0.01;2.022297
1;420;2.5457156;0.01;2.0262537
1;432;2.5331893;0.01;2.0333698
1;408;2.0121634;0.01;2.0335512
1;427;2.1614802;0.01;2.0352166
1;403;2.583984;0.01;2.0355468
1;445;2.5920699;0.01;2.0371227
1;414;2.649308;0.01;2.0397637
1;409;2.6588771;0.01;2.051504
1;421;2.256554;0.01;2.0540245
1;415;2.22239;0.01;2.08374
1;433;2.7356353;0.01;2.0845623
1;428;2.9193366;0.01;2.0860612
1;439;2.2531044;0.01;2.0867784
1;446;2.5063603;0.01;2.088345
1;410;2.235916;0.01;2.101805
1;404;2.323353;0.01;2.1050217
1;422;2.5122104;0.01;2.1051998
1;416;1.5976635;0.01;2.1093206
1;440;2.4703777;0.01;2.1113558
1;429;2.5070925;0.01;2.111935
1;447;2.7308002;0.01;2.11341
1;434;2.645038;0.01;2.1162603
1;411;1.5315404;0.01;2.1230981
1;405;2.7781115;0.01;2.1244807
1;417;2.4297552;0.01;2.1292024
1;423;1.5517669;0.01;2.1308494
1;441;2.217847;0.01;2.1331437
1;435;2.6154149;0.01;2.1404178
1;462;2.6388836;0.01;2.169901
1;450;1.6824572;0.01;2.170319
1;474;2.509295;0.01;2.1719737
1;468;2.1575344;0.01;2.1731598
1;486;2.296689;0.01;2.173485
1;492;2.45014;0.01;2.1739979
1;480;2.3906806;0.01;2.1742742
1;456;2.3518956;0.01;2.177007
1;451;1.6173903;0.01;2.1947656
1;463;2.49658;0.01;2.1975355
1;487;1.556752;0.01;2.198557
1;457;2.3105013;0.01;2.2421336
1;475;2.47429;0.01;2.2422576
1;481;2.4293365;0.01;2.2438715
1;498;2.6808462;0.01;2.2485154
1;469;2.0395775;0.01;2.256325
1;488;2.0704708;0.01;2.2641618
1;464;2.5307846;0.01;2.2657955
1;476;2.5782855;0.01;2.267232
1;452;2.7200649;0.01;2.267583
1;458;1.6801236;0.01;2.2687807
1;482;2.230343;0.01;2.271646
1;499;2.357234;0.01;2.2735121
1;493;2.4828205;0.01;2.2793388
1;470;2.8938637;0.01;2.2816043
1;489;2.3377585;0.01;2.2904446
1;465;1.7648757;0.01;2.2912126
1;459;1.7852385;0.01;2.297475
1;494;2.1514008;0.01;2.3046284
1;477;2.866258;0.01;2.3050747
1;453;2.4281137;0.01;2.3053687
1;495;2.298598;0.01;2.3072028
1;483;2.6275759;0.01;2.3092375
1;490;2.1228282;0.01;2.3175528
1;466;2.314164;0.01;2.317841
1;471;2.2278287;0.01;2.3183625
1;460;1.729304;0.01;2.3252444
1;478;2.3256776;0.01;2.331014
1;454;2.220343;0.01;2.331413
1;484;2.7099488;0.01;2.3341992
1;496;2.5969288;0.01;2.3352664
1;472;2.9426837;0.01;2.3436244
1;491;2.108104;0.01;2.343754
1;467;2.668613;0.01;2.3455336
1;461;2.0909092;0.01;2.3516686
1;479;1.707659;0.01;2.3545961
1;455;2.9864097;0.01;2.355227
1;497;2.6824267;0.01;2.357773
1;485;2.5755737;0.01;2.3603137
1;473;2.0601666;0.01;2.3626347
1;518;1.7518576;0.01;2.393216
1;500;2.7273602;0.01;2.3937242
1;524;2.038291;0.01;2.3944056
1;506;2.0443015;0.01;2.3945246
1;536;2.7391121;0.01;2.3961575
1;542;2.483966;0.01;2.3966024
1;548;1.6139406;0.01;2.4067717
1;530;2.5476205;0.01;2.407632
1;519;2.8626513;0.01;2.4195013
1;525;2.556509;0.01;2.4217947
1;507;2.3221104;0.01;2.422265
1;537;2.6018279;0.01;2.4222705
1;543;2.138568;0.01;2.4234314
1;512;2.4344661;0.01;2.4310374
1;549;2.251428;0.01;2.434207
1;501;2.5490603;0.01;2.4458048
1;526;2.481041;0.01;2.4485855
1;508;2.163626;0.01;2.4488947
1;538;1.9874184;0.01;2.4499881
1;544;2.4928951;0.01;2.450808
1;531;1.7301977;0.01;2.4510345
1;520;2.109255;0.01;2.4608324
1;502;2.6992745;0.01;2.47711
1;527;2.1185524;0.01;2.4795067
1;509;2.3020856;0.01;2.4806685
1;532;2.1353111;0.01;2.4808857
1;503;1.7571493;0.01;2.4814713
1;513;2.2081997;0.01;2.4840071
1;539;1.6101017;0.01;2.487528
1;521;2.8346667;0.01;2.4889283
1;515;2.3966444;0.01;2.5011735
1;545;2.2283387;0.01;2.5042608
1;528;2.2733257;0.01;2.505863
1;533;2.0612895;0.01;2.506114
1;504;2.5403776;0.01;2.5076845
1;514;2.6999133;0.01;2.509306
1;522;1.86239;0.01;2.5137353
1;510;2.7494648;0.01;2.5172257
1;516;2.101246;0.01;2.5257056
1;540;1.6735361;0.01;2.5304506
1;505;2.1645043;0.01;2.5334115
1;534;2.4703634;0.01;2.5345678
1;546;2.4039698;0.01;2.5367846
1;529;2.3328242;0.01;2.5414083
1;523;2.7809227;0.01;2.5417285
1;511;2.4290662;0.01;2.5435174
1;517;2.241586;0.01;2.5489867
1;541;2.4113393;0.01;2.5509436
1;547;2.584115;0.01;2.5541773
1;535;2.5427876;0.01;2.5557113
1;568;2.4288962;0.01;2.6025984
1;592;2.7831619;0.01;2.602758
1;556;2.512543;0.01;2.6045053
1;562;2.5391743;0.01;2.606525
1;550;2.5819757;0.01;2.6065466
1;586;2.6043203;0.01;2.6069815
1;580;2.4909515;0.01;2.6203976
1;598;2.368249;0.01;2.6224387
1;593;2.9897237;0.01;2.626016
1;569;2.3997056;0.01;2.6272633
1;551;2.528949;0.01;2.631322
1;563;2.286935;0.01;2.6320813
1;587;2.4701595;0.01;2.6329043
1;581;2.5442605;0.01;2.645771
1;557;2.4270797;0.01;2.6470635
1;574;1.7659966;0.01;2.648611
1;594;2.6590116;0.01;2.6508203
1;570;2.1948864;0.01;2.6549397
1;599;1.750901;0.01;2.65519
1;552;2.0785904;0.01;2.6574783
1;588;2.305812;0.01;2.6604176
1;564;2.08724;0.01;2.6648746
1;595;2.050733;0.01;2.6765716
1;571;2.3638499;0.01;2.6770291
1;553;2.1977565;0.01;2.6784954
1;558;1.7689998;0.01;2.6827013
1;559;2.2897599;0.01;2.6840322
1;565;2.9106205;0.01;2.6876376
1;582;2.277369;0.01;2.6909068
1;596;2.4834976;0.01;2.7017062
1;589;2.3456032;0.01;2.702048
1;572;2.1778212;0.01;2.7049682
1;554;2.4417253;0.01;2.7052228
1;560;2.429524;0.01;2.7863438
1;566;2.438552;0.01;2.7869668
1;583;2.1074567;0.01;2.795001
1;577;2.5218458;0.01;2.7980852
1;575;1.7154042;0.01;2.801203
1;590;2.2023466;0.01;2.804
1;597;2.5164278;0.01;2.8045402
1;555;2.3606825;0.01;2.808885
1;561;2.3345232;0.01;2.8110712
1;567;2.5549376;0.01;2.8131883
1;576;2.1028163;0.01;2.819404
1;573;2.483172;0.01;2.821717
1;584;2.3024206;0.01;2.8222752
1;578;2.225351;0.01;2.822393
1;591;2.24556;0.01;2.8295264
1;585;2.0845196;0.01;2.8385148
1;579;2.117154;0.01;2.838863
1;600;1.8010885;0.01;2.8679755
1;606;2.8349981;0.01;2.8693876
1;630;1.9585458;0.01;2.8703618
1;624;2.042707;0.01;2.8707254
1;618;2.515941;0.01;2.8712254
1;642;2.3337839;0.01;2.871577
1;636;2.7803051;0.01;2.875232
1;648;2.5733626;0.01;2.8752506
1;601;2.1510656;0.01;2.8925662
1;607;2.2204125;0.01;2.8942802
1;643;2.6229255;0.01;2.8970327
1;625;2.3253872;0.01;2.8970728
1;619;2.6107137;0.01;2.899856
1;649;1.7719085;0.01;2.9024835
1;637;2.1875095;0.01;2.9052317
1;631;2.6260781;0.01;2.9140618
1;602;2.8650348;0.01;2.9193664
1;612;2.0260382;0.01;2.9198275
1;644;2.6530914;0.01;2.9236133
1;603;1.7595797;0.01;2.9279642
1;638;2.6623983;0.01;2.9304366
1;626;2.2972636;0.01;2.9384894
1;632;2.133759;0.01;2.938824
1;609;2.293491;0.01;2.9435744
1;620;2.3067555;0.01;2.9441824
1;613;1.7296997;0.01;2.9492452
1;608;2.6587214;0.01;2.9499292
1;645;2.5438726;0.01;2.9508476
1;604;1.9464921;0.01;2.952437
1;627;2.263839;0.01;2.9621558
1;633;2.090057;0.01;2.965965
1;621;2.8751802;0.01;2.9711666
1;639;2.4232185;0.01;2.9738164
1;646;2.06208;0.01;2.9744716
1;615;2.1693885;0.01;2.975849
1;610;2.5329356;0.01;2.978065
1;605;2.2260742;0.01;2.9820018
1;634;2.1486115;0.01;2.9903793
1;614;2.289557;0.01;2.9985702
1;622;2.4486957;0.01;3.0004108
1;640;1.7249491;0.01;3.0017753
1;611;2.4597847;0.01;3.0021794
1;647;2.4061322;0.01;3.0034943
1;616;2.1562202;0.01;3.0038707
1;628;2.1595962;0.01;3.0042002
1;635;2.4594243;0.01;3.018126
1;623;2.609971;0.01;3.0195215
1;617;2.6352985;0.01;3.022081
1;629;2.3299675;0.01;3.0222878
1;641;2.1257346;0.01;3.0252805
1;656;2.6284614;0.01;3.054346
1;662;2.4805374;0.01;3.0544615
1;650;2.3589704;0.01;3.0552053
1;674;2.7169402;0.01;3.056734
1;686;2.115785;0.01;3.0580997
1;680;2.742606;0.01;3.0583048
1;692;2.3861606;0.01;3.059086
1;698;2.0317452;0.01;3.0591626
1;663;2.1146717;0.01;3.0796807
1;657;2.1754367;0.01;3.0806725
1;675;2.4716928;0.01;3.084769
1;687;2.4834504;0.01;3.0847738
1;681;2.5074058;0.01;3.0848596
1;699;2.584383;0.01;3.087612
1;693;2.6408906;0.01;3.0926435
1;668;2.0580833;0.01;3.1050992
1;664;2.245152;0.01;3.1060414
1;682;2.1958063;0.01;3.1102655
1;688;2.5040183;0.01;3.1105537
1;676;2.5081398;0.01;3.1110957
1;653;2.8748567;0.01;3.1162565
1;658;2.2495878;0.01;3.1199381
1;669;2.5498173;0.01;3.1329548
1;665;2.3514438;0.01;3.1343634
1;683;2.585426;0.01;3.1362944
1;677;2.0870917;0.01;3.136974
1;689;2.356607;0.01;3.137088
1;654;2.2805882;0.01;3.141052
1;651;2.530269;0.01;3.1466022
1;694;2.326821;0.01;3.1490767
1;659;1.8345104;0.01;3.156644
1;666;2.2914295;0.01;3.160985
1;678;2.1016319;0.01;3.1616888
1;684;2.943383;0.01;3.161987
1;670;2.5891898;0.01;3.1687062
1;690;2.2939727;0.01;3.1689355
1;655;2.35882;0.01;3.1694164
1;660;2.1728203;0.01;3.181949
1;652;2.9494572;0.01;3.18546
1;667;2.1870542;0.01;3.1881447
1;685;2.798738;0.01;3.1905973
1;671;2.8012638;0.01;3.1937745
1;691;2.2492156;0.01;3.1942465
1;679;2.265765;0.01;3.1944976
1;695;2.5118327;0.01;3.1988218
1;661;2.406523;0.01;3.209446
1;672;1.7715458;0.01;3.2163963
1;696;2.0114987;0.01;3.2325487
1;673;2.3248413;0.01;3.2420325
1;697;2.6982343;0.01;3.2503836
1;700;2.777004;0.01;3.279655
1;712;2.9875698;0.01;3.2804835
1;730;2.3926957;0.01;3.2823317
1;706;2.5662744;0.01;3.282332
1;724;1.8133231;0.01;3.2827933
1;736;2.4292607;0.01;3.2829812
1;718;2.441294;0.01;3.2852244
1;742;2.1727307;0.01;3.287636
1;701;2.4358563;0.01;3.3070867
1;731;2.2527468;0.01;3.307209
1;707;2.5014358;0.01;3.308129
1;713;1.9354703;0.01;3.3081853
1;737;2.299725;0.01;3.3083642
